type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female
NMSH;318132;Mittelschule;1795838.84,6049841.9;Schulgasse 100;2831;Scheiblingkirchen-Thernberg;öffentl.;9;181;89;92
VS;318141;Volksschule;1780504.95,6042260.7;Markt 300;2880;Kirchberg am Wechsel;öffentl.;8;129;69;60
NMSH;318142;Mittelschule;1784680.6,6060045.21;Lichtenwörthergasse 1;2630;Ternitz;öffentl.;17;391;193;198
NMSH;318152;Mittelschule;1780501.99,6042066.82;Markt 106;2880;Kirchberg am Wechsel;öffentl.;8;148;83;65
VS;318161;Volksschule;1785138.95,6026095.39;Mönichkirchen 82;2872;Mönichkirchen;öffentl.;2;30;15;15
NMSH;318162;Mittelschule;1747981.79,6076041.05;Markt 29;2662;Schwarzau im Gebirge;öffentl.;2;46;30;16
NMSH;318172;Mittelschule;1795542.06,6026398.23;Schulstraße 1;2871;Zöbern;öffentl.;2;44;24;20
VS;318181;Volksschule;1790484.95,6059977.6;Mühlfeld, Mühlfeldstraße 4;2620;Neunkirchen;öffentl.;8;164;86;78
NMSH;318182;Private Mittelschule Stella Seebenstein des Vereins Verein zum Betrieb von katholischen Privatschulen und Kindergärten - Stella International School;1797249.94,6056831.47;Schlossweg 5;2824;Seebenstein;privat;1;11;6;5
VS;318191;Volksschule;1789796.87,6061461.74;Steinfeld, Dittrichstraße 12;2620;Neunkirchen;öffentl.;14;313;164;149
VS;318201;Volksschule;1790936.11,6032899.83;Schulgasse 26;2870;Aspang-Markt;öffentl.;4;82;41;41
VS;318211;Volksschule;1775380.73,6044441.78;Otterthal 1;2880;Otterthal;öffentl.;2;45;19;26
VS;318221;Volksschule;1766444.62,6056112.81;Schulgasse 11B;2650;Payerbach;öffentl.;5;70;37;33
VS;318231;Volksschule Neunkirchen-Peisching;1794004.51,6061575.74;am Mühlbach 13;2620;Neunkirchen;öffentl.;4;78;43;35
VS;318251;Volksschule;1801945.2,6060104.35;Auf der Schmelz 62;2823;Pitten;öffentl.;7;133;74;59
VS;318261;Dr.-Adolf-Schärf-Volksschule;1782321.87,6057251.66;Pottschach, F. Samwald Straße 27;2630;Ternitz;öffentl.;5;86;44;42
