type;skz;desc;coords;street;zip;city;keeper;classes;pupils;male;female
VS;108481;Volksschule;1833884.22,6029573.99;Schulgasse 6;7344;Stoob;öffentl.;3;49;32;17
VS;108501;Volksschule;1836958.67,6036302.33;Unterfrauenhaid, Hauptstraße 16;7321;Lackendorf;öffentl.;2;30;19;11
VS;108521;Volksschule;1845726.34,6039308.94;Bauerngasse 41;7312;Unterpetersdorf;öffentl.;1;13;7;6
VS;108531;Volksschule Frankenau-Unterpullendorf / osnovna skola Frakanava-Dolnja Pulja;1844752.99,6018103.4;Kleinmutschen 41;7452;Kleinmutschen;öffentl.;3;33;14;19
VS;108541;Volksschule;1822886.16,6016612.83;Hauptstraße 52;7371;Unterrabnitz-Schwendgraben;öffentl.;2;26;14;12
VS;108551;Volksschule Weingraben;1821456.41,6026476.43;Landseergasse 2;7374;Weingraben;öffentl.;1;12;7;5
VS;108561;Volksschule;1829012.78,6037832.62;Eichengasse 4;7331;Weppersdorf;öffentl.;4;57;29;28
ASTAT;108581;Storchennestschule des Montessorivereins-Storchennest;1824522.98,6030361.7;Mittelgasse 15-17;7342;Kaisersdorf;privat;3;45;29;16
SS;109013;Allgemeine Sonderschule (Lernwerkstättenschule Oberwart);1804203.2,5988406.49;Schulgasse 29;7400;Oberwart;öffentl.;6;39;23;16
BS;109015;Berufsschule;1804084.55,5988471.5;Schulgasse 32;7400;Oberwart;öffentl.;15;304;283;21
AHS;109016;Evangelisches Realgymnasium und Oberstufenrealgymnasium des evangelischen Schulwerks Oberschützen;1804328.7,5999448.96;G. A. Wimmer-Platz 2;7432;Oberschützen;privat;25;504;175;329
VS;109021;Volksschule;1803586.41,6007936.24;Schulgasse 7;7432;Aschau im Burgenland;öffentl.;1;22;10;12
NMSH;109022;Mittelschule;1816081.53,5980601.32;Stegersbacher Straße 7;7503;Großpetersdorf;öffentl.;10;142;80;62
BS;109025;Landesberufsschule;1794850.44,6002136.29;Schlossgasse 1;7423;Pinkafeld;öffentl.;44;894;818;76
AHS;109026;Bundesgymnasium und Bundesrealgymnasium;1804091.29,5999761.86;Hauptplatz 7;7432;Oberschützen;öffentl.;31;628;336;292
VS;109031;Volksschule;1806393.62,5996769.15;Kirchenstraße 11;7431;Bad Tatzmannsdorf;öffentl.;4;64;30;34
NMSH;109032;Mittelschule;1820652.54,5970502.34;Schulgasse 1;7512;Kohfidisch;öffentl.;7;121;66;55
AHS;109036;Zweisprachiges Bundesgymnasium;1804580,5988959.38;Badgasse 7;7400;Oberwart;öffentl.;16;262;113;149
VS;109041;Volksschule;1810023.89,6007935.68;Schulgasse 11;7434;Bernstein;öffentl.;4;60;30;30
NMSH;109042;Mittelschule;1789772.78,5989953.23;Schulgasse 15;7411;Markt Allhau;öffentl.;10;190;96;94
VS;109051;Volksschule;1792772.73,5994046.98;Schulweg 13;7411;Buchschachen;öffentl.;1;19;11;8
NMSH;109052;Sportmittelschule;1804610.72,5999584.11;Schulweg 6;7432;Oberschützen;öffentl.;11;213;132;81
NMSH;109062;Mittelschule;1804203.2,5988406.49;Schulgasse 29;7400;Oberwart;öffentl.;16;286;142;144
VS;109071;Volksschule;1830929.6,5968820.04;Schulgasse 1;7474;Deutsch Schützen;öffentl.;1;23;12;11
NMSH;109072;Mittelschule;1795146.12,6002229.76;Schulstraße 2;7423;Pinkafeld;öffentl.;9;173;99;74
PS;109074;Polytechnische Schule;1804084.55,5988471.5;Schulgasse 32;7400;Oberwart;öffentl.;3;61;45;16
NMSH;109082;Mittelschule;1829988.85,5991555.88;Schulgasse 10;7471;Rechnitz;öffentl.;6;109;61;48
VS;109091;Volksschule;1824354.64,5985809.05;Dürnbach 118;7472;Schachendorf;öffentl.;2;30;17;13
VS;109111;Volksschule;1788432.96,6001432.66;Grafenschachen 24;7423;Grafenschachen;öffentl.;2;38;18;20
VS;109131;Volksschule;1816050.51,5980666.58;Stegersbacher Straße;7503;Großpetersdorf;öffentl.;8;118;67;51
VS;109151;Volksschule;1823313.94,5979650.18;Hannersdorf 186;7473;Hannersdorf;öffentl.;1;21;12;9
VS;109171;Volksschule;1814965.66,6005077.47;Holzschlag 96;7435;Unterkohlstätten;öffentl.;1;17;11;6
VS;109181;Volksschule;1811439.32,5981112.95;Am Kirchenriegel 6;7503;Jabing;öffentl.;2;32;14;18
GKS;109190;BFI Burgenland - Pflegeausbildung am Standort Oberwart;1802744.04,5989175.66;Grazerstraße 86;7400;Oberwart;privat;0;49;7;42
VS;109191;Volksschule;1797638.7,5983134.18;Schulgasse 7;7531;Kemeten;öffentl.;3;58;32;26
VS;109241;Volksschule;1820735.29,5970525.47;Schulgasse 1;7512;Kohfidisch;öffentl.;3;59;29;30
VS;109271;Volksschule;1799168.59,5976222.96;Marktstraße 58;7532;Litzelsdorf;öffentl.;3;44;24;20
VS;109281;Volksschule Loipersdorf-Kitzladen;1789814.5,5996602.09;Schulstraße 1;7410;Loipersdorf-Kitzladen;öffentl.;4;57;27;30
VS;109291;Volksschule;1806640.11,6002516.13;Mariasdorf 160;7433;Mariasdorf;öffentl.;2;28;16;12
VS;109301;Volksschule;1789738.13,5990022.21;Schulgasse 13;7411;Markt Allhau;öffentl.;3;56;30;26
VS;109311;Volksschule;1824947.03,5990437.73;Markt Neuhodis 30a;7464;Markt Neuhodis;öffentl.;2;23;11;12
VS;109331;Volksschule;1815974.72,5973831.54;Schulgasse 1;7511;Mischendorf;öffentl.;2;40;20;20
VS;109361;Volksschule;1784211.02,6002253.51;Schulgasse 2;7423;Pinkafeld;öffentl.;2;44;21;23
VS;109381;Volksschule Oberdorf;1804926.35,5978653.6;Kirchenplatz 1;7501;Oberdorf im Burgenland;öffentl.;2;28;14;14
VS;109401;Volksschule;1804610.72,5999584.11;Schulweg 4;7432;Oberschützen;öffentl.;4;70;43;27
VS;109411;Volksschule;1804685.69,5989030.87;Schulgasse 4;7400;Oberwart;öffentl.;18;306;169;137
BMHST;109417;Private Werkmeisterschule für Berufstätige für Bauwesen des Wirtschaftsförderungsinstituts der Wirtschaftskammer Burgenland;1804084.18,5989981.08;Raimundgasse 36;7400;Oberwart;privat;1;11;11;0
BMHSK;109418;Bundeshandelsakademie und Bundeshandelsschule;1804737.58,5989001.04;Schulgasse 4;7400;Oberwart;öffentl.;13;258;89;169
VS;109421;Volksschule;1795033.56,6003081.9;Rathausplatz 11;7423;Pinkafeld;öffentl.;20;303;165;138
BMHSW;109429;Höhere Bundeslehranstalt für wirtschaftliche Berufe, Tourismus, Mode und Bekleidungstechnik;1804478.39,5989025.51;Badgasse 5;7400;Oberwart;öffentl.;28;578;105;473
VS;109431;Volksschule;1830002.33,5991530.48;Schulgasse 10;7471;Rechnitz;öffentl.;7;105;56;49
BMHSW;109439;Höhere Bundeslehranstalt für wirtschaftliche Berufe und Höhere Bundeslehranstalt für Pflege und Sozialbetreuung;1795063.03,6002353.15;Schulstraße 7;7423;Pinkafeld;öffentl.;11;251;21;230
BMHST;109447;Höhere technische Bundeslehr- und Versuchsanstalt;1794673.14,6001912.04;Meierhofplatz 1;7423;Pinkafeld;öffentl.;60;1430;1192;238
BSTAT;109459;Priv. HLA f. Sozialbetreuung u. Pflege u. Schule f. Sozialbetreuungsberufe d. Verein z. Err. u. Erh. v. Schulen f. Sozial- u. Pflegeberufe im Burgenland;1794970.06,6001546.45;Dr. Alfred Kranich-Platz 3;7423;Pinkafeld;privat;19;414;131;283
VS;109461;Volksschule;1796241.41,5998517.77;Schulgasse 1;7422;Riedlingsdorf;öffentl.;3;54;30;24
VS;109481;Volksschule;1808631.04,5982948.42;Rotenturm an der Pinka 270;7501;Rotenturm an der Pinka;öffentl.;2;31;16;15
VS;109541;Volksschule;1811627.82,5994728.07;Oberwarter Straße 7;7461;Stadtschlaining;öffentl.;3;61;32;29
VS;109561;Volksschule;1812375.08,5984871.13;Kirchenstraße 13;7501;Siget in der Wart;öffentl.;2;21;8;13
VS;109581;Volksschule;1817322.2,6003594.17;Unterkohlstätten 8;7435;Unterkohlstätten;öffentl.;1;16;8;8
VS;109591;Volksschule;1803927.56,5994035.89;Unterschützen 29;7400;Oberwart;öffentl.;2;39;19;20
VS;109601;Zweisprachige Volksschule Ketnyelvu Nepiskola;1807257.14,5984474.1;Marienplatz 1/Maria ter 1;7502;Unterwart/Alsoör;öffentl.;3;46;25;21
VS;109611;Volksschule;1819834.54,5991302.91;Weiden bei Rechnitz 64;7463;Weiden bei Rechnitz;öffentl.;2;21;11;10
VS;109631;Volksschule;1797369.26,6004982.31;Untere Hauptstraße 11;7425;Wiesfleck;öffentl.;3;47;26;21
VS;109641;Volksschule;1791883.96,5984329.66;Grundwinkel 1;7412;Wolfau;öffentl.;5;78;40;38
BMHSP;109810;Bundes-Bildungsanstalt für Elementarpädagogik;1803882.04,5988015.72;Dornburggasse 93;7400;Oberwart;öffentl.;21;473;44;429
GKS;109910;Schule für allgemeine Gesundheits- und Krankenpflege am LKH Oberwart;1803750.24,5987804.61;Dornburggasse 80;7400;Oberwart;öffentl.;0;239;33;206
GKS;109920;WIFI Burgenland - Ausbildungen im Gesundheitsbereich am Standort Oberwart;1804084.18,5989981.08;Raimundgasse 36;7400;Oberwart;privat;0;29;1;28
GKS;109940;Landeszahnärztekammer Burgenland - Lehrgang für Zahnärztliche Assistenz;1805833.95,5999114.19;Schlossplatz 1;7431;Bad Tatzmannsdorf;privat;0;101;2;99
VS;201011;Volksschule 1;1591600.31,5881365.46;Lerchenfeldstraße 35;9020;Klagenfurt am Wörthersee;öffentl.;13;278;138;140
PS;201014;Polytechnische Schule;1593115.1,5878840.39;Kneippgasse 30;9020;Klagenfurt am Wörthersee;öffentl.;7;139;81;58
AHS;201016;Bundesgymnasium und Bundesrealgymnasium Europagymnasium;1593508.65,5880602.7;Völkermarkter Ring 27;9020;Klagenfurt am Wörthersee;öffentl.;29;630;267;363
BS;201025;Fachberufsschule Klagenfurt 1;1593385.06,5879985.08;Wulfengasse 24;9020;Klagenfurt am Wörthersee;öffentl.;46;1019;868;151
AHS;201026;Bundesgymnasium und Bundesrealgymnasium;1592442.57,5878655.61;Mössingerstraße 25;9020;Klagenfurt am Wörthersee;öffentl.;36;902;537;365
BS;201035;Fachberufsschule Klagenfurt 2;1593385.06,5879985.08;Wulfengasse 24;9010;Klagenfurt am Wörthersee;öffentl.;45;669;197;472
AHS;201036;Bundesrealgymnasium und Bundes-Oberstufenrealgymnasium mit Modellversuch Mittelschule;1590669.57,5878353.34;Hubertusstraße 1;9022;Klagenfurt;öffentl.;24;553;332;221
GKS;201040;Landeszahnärztekammer Kärnten - Lehrgang für Zahnärztliche Assistenz;1592847.2,5880935.54;Neuer Platz 7/1;9020;Klagenfurt;privat;0;37;null;37
VS;201041;Volksschule 4 Klagenfurt am Wörthersee - Annabichl;1593611.6,5883513.26;Weichselhofstraße 6;9020;Klagenfurt am Wörthersee;öffentl.;5;96;55;41
AHS;201046;Bundesgymnasium und Bundesrealgymnasium;1591780.78,5881367.04;Lerchenfeldstraße 22;9020;Klagenfurt am Wörthersee;öffentl.;32;753;465;288
NMSH;201052;Mittelschule 11;1593611.6,5883513.26;Weichselhofstraße 6;9020;Klagenfurt am Wörthersee;öffentl.;12;234;114;120
SS;201053;Heilstättenschule Klagenfurt;1592840.96,5882241.9;Feschnigstraße 11 S;9020;Klagenfurt am Wörthersee;öffentl.;9;29;16;13
AHS;201056;Bundesgymnasium und Bundesrealgymnasium Ingeborg Bachmann;1591427.28,5880947.55;Ingeborg-Bachmann-Platz 1;9020;Klagenfurt am Wörthersee;öffentl.;34;768;316;452
NMSH;201062;Mittelschule 12;1593115.1,5878840.39;Kneippgasse 30;9020;Klagenfurt am Wörthersee;öffentl.;9;189;127;62
AHS;201066;Bundesgymnasium und Bundesrealgymnasium für Slowenen;1594451.38,5880923.05;Prof.-Janezic-Platz 1;9020;Klagenfurt am Wörthersee;öffentl.;24;499;233;266
SS;201073;Private Allgemeine Sonderschule des Vereins Maria Josefinum;1587437.04,5875739.67;Felseckweg 11;9073;Klagenfurt am Wörthersee;privat;2;14;8;6
AHS;201076;Bundesrealgymnasium;1588362.33,5875286.42;Stift-Viktring-Straße 25;9073;Klagenfurt am Wörthersee;öffentl.;39;899;315;584
VS;201081;Volksschule 8 Klagenfurt am Wörthersee - Dr.-Karl-Renner-Schule;1594661.05,5880814.35;Ebentaler Straße 24;9020;Klagenfurt am Wörthersee;öffentl.;11;227;124;103
NMSH;201082;Mittelschule 2;1590538.2,5879620.02;Obirstraße 6;9020;Klagenfurt am Wörthersee;öffentl.;15;323;224;99
SS;201083;Sonderschule für Kinder mit erhöhtem Förderbedarf;1590344.36,5879761.51;Schubertstraße 29;9020;Klagenfurt am Wörthersee;öffentl.;4;22;9;13
AHS;201086;Bundesgymnasium, Bundesrealgymnasium und Wirtschaftskundliches Bundesrealgymnasium für Berufstätige;1591427.28,5880947.55;Ferdinand-Jergitsch-Straße 21;9020;Klagenfurt am Wörthersee;öffentl.;14;316;123;193
VS;201091;Volksschule 9 Theodor-Körner-Schule;1590306.5,5879686.29;Schubertstraße 31;9020;Klagenfurt am Wörthersee;öffentl.;17;377;207;170
NMSH;201092;Mittelschule 3 (Hasnerschule);1593326.18,5880691.98;Lidmanskygasse 55;9020;Klagenfurt am Wörthersee;öffentl.;16;382;134;248
VS;201101;Volksschule 10 Theodor-Körner-Schule;1590306.5,5879686.29;Schubertstraße 31;9020;Klagenfurt am Wörthersee;öffentl.;14;307;161;146
AHS;201106;Privates Realgymnasium und Oberstufenrealgymnasium (St. Ursula) der Katholischen Privatschulstiftung der Diözese Gurk;1592385.72,5881245.56;Ursulinengasse 5/2;9020;Klagenfurt;privat;13;310;125;185
VS;201111;Volksschule 11;1593115.1,5878840.39;Kneippgasse 30;9020;Klagenfurt am Wörthersee;öffentl.;10;191;106;85
NMSH;201112;Mittelschule 5 Klagenfurt-Wölfnitz;1586539.19,5888371.62;Römerweg 38;9061;Klagenfurt am Wörthersee;öffentl.;8;198;109;89
VS;201121;Volksschule 12;1591630.69,5880148.43;Richard-Wagner-Straße 20;9020;Klagenfurt am Wörthersee;öffentl.;8;170;93;77
NMSH;201122;Mittelschule 6;1594705.13,5880733.88;Ebentaler Straße 26;9020;Klagenfurt am Wörthersee;öffentl.;19;412;222;190
VS;201131;Volksschule 13;1592840.37,5883449.44;Akazienhofstraße 36;9020;Klagenfurt am Wörthersee;öffentl.;13;295;161;134
NMSH;201132;Private Mittelschule St. Ursula;1592434.5,5881090.41;Ursulinengasse 1;9020;Klagenfurt am Wörthersee;privat;10;244;112;132
VS;201141;Volksschule 14;1596134.71,5881905.53;Schachterlweg 47;9020;Klagenfurt am Wörthersee;öffentl.;15;294;150;144
NMSH;201142;Mittelschule 13 Klagenfurt-Viktring;1588949.93,5875235.5;Abstimmungsstraße 31;9073;Klagenfurt am Wörthersee;öffentl.;9;206;113;93
VS;201151;Volksschule 15 - St. Georgen am Sandhof;1595127.56,5885892.53;Sandhofweg 17;9020;Klagenfurt am Wörthersee;öffentl.;4;94;56;38
NMSH;201152;Praxismittelschule der Pädagogischen Hochschule in Kärnten (201660);1590669.57,5878353.34;Hubertusstraße 1;9020;Klagenfurt am Wörthersee;öffentl.;8;195;94;101
NMSH;201172;Private Mittelschule des Schulvereins der Siebenten-Tags-Adventisten;1594600.8,5880880.31;Ebentaler Straße 22;9020;Klagenfurt am Wörthersee;privat;2;23;9;14
NMSH;201182;Private Mittelschule de La Tour Klagenfurt der Evangelischen Stiftung der Gräfin de La Tour;1596612.93,5880537.22;Harbacher Straße 70;9020;Klagenfurt am Wörthersee;privat;4;72;46;26
VS;201191;Volksschule St. Ursula Klagenfurt;1592434.5,5881090.41;Ursulinengasse 1;9010;Klagenfurt am Wörthersee;privat;11;245;115;130
NMSH;201192;Privatschule Trinity - christliche Privatschule - Sekundarstufe I des Vereins Trinity - Verein zur Förderung christl. Bildung und Erziehung in Kärnten;1591228.07,5884785.32;Suppanstraße 69;9020;Klagenfurt;privat;2;43;24;19
VS;201201;Praxisvolksschule der Pädagogischen Hochschule in Kärnten (201660);1590669.57,5878353.34;Hubertusstraße 1;9020;Klagenfurt am Wörthersee;öffentl.;10;187;93;94
VS;201221;Volksschule 20 Klagenfurt;1588864.29,5875359.93;Schulstraße 2;9073;Klagenfurt am Wörthersee;öffentl.;13;278;144;134
GKS;201230;WIFI Kärnten - Masseur- und Ordinationsassistenzausbildungen;1593174.17,5879952.6;Europaplatz 1;9020;Klagenfurt;privat;0;31;null;31
VS;201231;Volksschule 21;1600929.54,5881943.78;Gutendorfer Straße 36;9020;Klagenfurt am Wörthersee;öffentl.;4;64;31;33
VS;201241;Volksschule 22 Klagenfurt;1584594.19,5889651.45;Ponfeldstraße 91;9061;Klagenfurt am Wörthersee;öffentl.;4;86;39;47
VS;201251;Volksschule 23 Klagenfurt;1586608.61,5888319.54;Römerweg 36;9061;Klagenfurt am Wörthersee;öffentl.;8;193;90;103
VS;201261;Zweisprachige Volksschule 24 Javna dvojezicna ljudska sola 24;1594661.05,5880814.35;Ebentaler Straße 24;9020;Klagenfurt am Wörthersee;öffentl.;8;111;55;56
VS;201301;Volksschule 27;1596134.71,5881905.53;Schachterlweg 47;9020;Klagenfurt am Wörthersee;öffentl.;13;285;142;143
ASTAT;201321;Rudolf-Steiner-Schule Klagenfurt des Rudolf Steiner Schulvereins (Waldorfschule);1588324.33,5880130.8;Wilsonstraße 11;9020;Klagenfurt am Wörthersee;privat;11;136;69;67
VS;201331;Private Volksschule des Vereins Hermagoras-Mohorjeva;1592717.36,5880462.36;10.-Oktober-Straße 25;9020;Klagenfurt am Wörthersee;privat;6;73;35;38
VS;201341;Privatschule Montessorischule de La Tour-Priv.Evangelische Volksschule für ganzheitliches Lernen d. Evangelischen Stiftung der Gräfin Elvine de La Tour;1596612.93,5880537.22;Harbacher Straße 70;9020;Klagenfurt am Wörthersee;privat;5;92;41;51
VS;201351;Private Volksschule des Schulvereins der Siebenten-Tags-Adventisten Klagenfurt;1594600.8,5880880.31;Ebentaler Straße 22;9020;Klagenfurt am Wörthersee;privat;1;16;9;7
ASTAT;201361;CreaVita Montessori Privatschule des Vereins Lernen ist Begegnung mit der Welt;1585352.35,5884917.68;Halleggerstraße 152;9061;Klagenfurt am Wörthersee;privat;1;30;15;15
BMHSW;201419;Höhere Bundeslehranstalt für wirtschaftliche Berufe und Höhere Bundeslehranstalt für Mode;1592915.32,5880139.64;Fromillerstraße 15;9020;Klagenfurt am Wörthersee;öffentl.;27;593;61;532
BMHST;201427;Höhere technische Bundeslehranstalt;1593678.85,5880258.99;Lastenstraße 1;9020;Klagenfurt am Wörthersee;öffentl.;48;916;832;84
BMHSK;201438;Bundeshandelsakademie und Bundeshandelsschule I;1593655.24,5880851.45;Kumpfgasse 21;9020;Klagenfurt am Wörthersee;öffentl.;39;830;426;404
BMHSK;201448;Bundeshandelsakademie und Bundeshandelsschule II HAK INTERNATIONAL KLAGENFURT;1593712.56,5880925.65;Mosteckyplatz 1;9020;Klagenfurt am Wörthersee;öffentl.;8;207;72;135
BMHSW;201469;Private Höhere Lehranstalt f. wirtschaftliche Berufe, Höhere Lehranstalt f. Pflege u. Sozialbetreuung und Fachschule f. Sozialberufe;1592336.25,5880416.32;Viktringer Ring 40;9020;Klagenfurt am Wörthersee;privat;12;269;44;225
BMHST;201517;Werkmeisterschule für Berufstätige des WIFI Kärnten GmbH;1593893.53,5879886.37;Lastenstraße 15;9021;Klagenfurt am Wörthersee;privat;3;69;69;0
BSTAT;201529;Private Schule für Sozialberufe und Schule für Sozialbetreuungsberufe des Vereins Kärntner Caritasverband für Wohlfahrtspflege und Fürsorge (Caritas Kärnten);1592401.5,5880415.49;Viktringer Ring 36;9020;Klagenfurt am Wörthersee;privat;45;897;163;734
BMHST;201537;Höhere technische Bundeslehranstalt;1592442.57,5878655.61;Mössingerstraße 25;9020;Klagenfurt am Wörthersee;öffentl.;46;1115;892;223
BSTAT;201549;Private Lehranstalt für Ehe- und Familienberater des Kärntner Caritasverbandes;1592401.5,5880415.49;Viktringer Ring 36;9020;Klagenfurt am Wörthersee;privat;1;16;2;14
BMHSK;201568;Zweisprachige Bundeshandelsakademie;1594451.38,5880923.05;Prof.-Janezic-Platz 1;9020;Klagenfurt am Wörthersee;öffentl.;11;233;113;120
LFMS;201710;Landwirtschaftliche Fachschule - Fachrichtung: Betriebs- und Haushaltsmanagement  Bildungszentrum Ehrental;1592125.84,5885741.53;Ehrentaler Straße 119;9020;Klagenfurt am Wörthersee;öffentl.;6;96;33;63
BS;201750;Landwirtschaftliche Berufsschule Ehrental - Fachrichtung Gartenbau;1591986.7,5885690.69;Ehrentaler Straße 117;9020;Klagenfurt am Wörthersee;öffentl.;3;26;10;16
LFHS;201760;Höhere Bundeslehranstalt für Landwirtschaft und Ernährung Pitzelstätten;1588186.06,5888459.42;Glantalstraße 59;9061;Klagenfurt am Wörthersee;öffentl.;14;368;29;339
BMHSP;201810;Bundes-Bildungsanstalt für Elementarpädagogik;1590669.57,5878353.34;Hubertusstraße 1;9020;Klagenfurt am Wörthersee;öffentl.;23;602;49;553
GKS;201910;Schule für allgemeine Gesundheits- und Krankenpflege Klagenfurt des Landes Kärnten am Klinikum Klagenfurt am Wörthersee;1593022.59,5881974.56;St. Veiter Straße 34;9026;Klagenfurt;öffentl.;0;75;10;65
GKS;201930;Kärntner Berufsförderungsinstitut - ABZ - Ausbildungen im Gesundheitsbereich;1593273.78,5879820.23;Bahnhofstraße 44;9020;Klagenfurt;privat;0;56;13;43
GKS;201940;Österreichisches Institut für Allgemeinmedizin - Schule für medizinische Assistenzberufe;1593022.59,5881974.56;St. Veiter Straße 34;9020;Klagenfurt;privat;0;203;20;183
GKS;201980;KABEG Bildungszentrum - Landeskrankenanstalten- Betriebsges.- Sonderausbildung im Gesundheitsbereich;1592737.41,5882806.11;Feschnigstraße 11;9020;Klagenfurt;öffentl.;0;143;40;103
VS;202011;Volksschule 1;1541528.48,5879022.85;Khevenhüllergasse 16;9500;Villach;öffentl.;12;224;121;103
AHS;202016;Bundesgymnasium und Bundesrealgymnasium;1541320.75,5878739.99;Peraustraße 10-12;9500;Villach;öffentl.;52;1295;588;707
VS;202021;Volksschule 2;1542118.28,5879298.38;Trattengasse 3;9500;Villach;öffentl.;16;249;139;110
PS;202024;Polytechnische Schule;1542215.89,5879295.96;Trattengasse 3a;9500;Villach;öffentl.;7;131;80;51
BS;202025;Fachberufsschule Villach 2;1539966.65,5879178.85;Tiroler Straße 23;9501;Villach;öffentl.;67;1164;1049;115
AHS;202026;Bundesgymnasium und Bundesrealgymnasium;1540344.48,5879339.62;Sankt Martiner Straße 7;9500;Villach;öffentl.;52;1283;575;708
VS;202031;Volksschule 3 Lind;1540896.95,5880382.28;Walter-v.-d.Vogelweide-Park 1;9500;Villach;öffentl.;11;218;116;102
SS;202033;Sonderschule für Kinder mit erhöhtem Förderbedarf;1542215.89,5879295.96;Trattengasse 3a;9500;Villach;öffentl.;1;8;3;5
BS;202035;Fachberufsschule Villach 1;1539966.65,5879178.85;Tiroler Straße 23;9500;Villach;öffentl.;45;764;510;254
VS;202041;Volksschule 4;1539579.08,5877259.57;Neubaugasse 20;9500;Villach;öffentl.;9;170;90;80
NMSH;202042;Musikmittelschule 1 Auen;1541329.19,5877223.33;Heidenfeldstraße 24;9500;Villach;öffentl.;17;362;173;189
BS;202045;Fachberufsschule für Tourismus Warmbad Villach;1539772.6,5875587.12;Kumpfallee 87;9504;Warmbad Villach;öffentl.;35;554;246;308
VS;202051;Volksschule 6;1541366.68,5877107.23;Heidenfeldstraße 26;9500;Villach;öffentl.;14;276;144;132
NMSH;202052;Sportmittelschule 2 Lind;1540788.74,5880524.34;Rudolf-Kattnigg-Straße 4;9500;Villach;öffentl.;12;295;191;104
NMSH;202062;Mittelschule 3 Völkendorf;1539719.96,5878026.78;Millesistraße 16;9500;Villach;öffentl.;16;310;152;158
NMSH;202082;Mittelschule 5 Landskron;1545053.83,5881615.02;Hauptschulstraße 4;9523;Villach;öffentl.;19;416;183;233
VS;202091;Volksschule 5;1539824.88,5879630.48;Schloßgasse 16;9500;Villach;öffentl.;9;198;96;102
VS;202111;Volksschule 10;1541764.99,5881893.47;Vassacher Schulweg 2;9500;Villach;öffentl.;5;99;47;52
